Ref,logLIR,logLHCN,Type
Gao04            ,10.3222,7.43136, 
Gao04            ,11.6693,8.92942, 
Gao04            ,10.5682,7.41497, 
Gao04            ,11.6684,8.63347, 
Gao04            ,11.4099,8.27646, 
Gao04            ,10.4150,7.39794, 
Gao04            ,10.4150,7.30103, 
Gao04            ,10.3222,7.56820, 
Gao04            ,11.4518,8.55751, 
Gao04            ,11.3997,8.42651, 
Gao04            ,11.1106,8.49136, 
Gao04            ,10.1461,7.67210, 
Gao04            ,11.5866,8.09691, 
Gao04            ,11.9400,8.99123, 
Gao04            ,12.0723,8.79239, 
Gao04            ,11.0000,7.98227, 
Gao04            ,10.7924,7.60206, 
Gao04            ,11.6599,8.57978, 
Gao04            ,9.91908,6.95424, 
Gao04            ,11.9504,9.00000, 
Gao04            ,10.6628,7.47712, 
Gao04            ,10.6335,8.00000, 
Gao04            ,11.9722,9.00860, 
Gao04            ,11.5623,8.60206, 
Gao04            ,10.1303,6.95424, 
Gao04            ,10.1004,6.90309, 
Gao04            ,10.0043,7.38021, 
Gao04            ,10.0607,7.36173, 
Gao04            ,10.3304,7.73239, 
Gao04            ,10.2304,7.25527, 
Gao04            ,9.90849,7.20412, 
Gao04            ,10.3010,6.90309, 
Gao04            ,9.41497,6.60206, 
Gao04            ,10.1461,7.61278, 
Gao04            ,10.0414,7.00000, 
Gao04            ,11.1399,8.43616, 
Gao04            ,10.1461,7.54407, 
Gao04            ,12.1136,9.18184, 
Gao04            ,10.4771,7.87506, 
Gao04            ,10.6232,7.34242, 
Gao04            ,10.5798,7.75587, 
Gao04            ,12.3701,9.57519, 
Gao04            ,11.7300,8.60530, 
Gao04            ,11.0492,8.13988, 
Gao04            ,11.0569,8.44871, 
Gao04            ,10.2041,7.69020, 
Gao04            ,11.3304,8.51455, 
Gao04            ,11.1492,8.53403, 
Gao04            ,10.5441,7.64345, 
Gao04            ,11.6096,8.34044, 
Gao04            ,10.8692,8.04922, 
Gao04            ,12.1523,9.17609, 
Gao04            ,11.4298,8.52504, 
Gao04            ,12.4822,9.26951, 
Gao04            ,12.1467,8.96379, 
Gao04            ,11.7868,9.04139, 
Gao04            ,11.5717,8.97772, 
Gao04            ,11.7980,8.32222, 
Gao04            ,11.3304,8.81291, 
Gao04            ,11.3502,8.11394, 
Gao04            ,10.9294,7.80618, 
Gao04            ,10.7924,7.95424, 
Gao04            ,10.6721,7.69020, 
Gao04            ,10.4150,7.43136, 
Gao04            ,10.6232,7.69897, 
Gao07            ,13.2304,9.81291, 
